"model.total","plant.total","model1.area","model1.main1","model1.main.group1","model1.main1.number","model1.main1.number.unit","model1.main1.year","model1.main1.yield","model1.main1.yield.unit","model1.main2","model1.main2.number","model1.main2.year","model1.main2.yield","model1.main2.yield.unit","model1.intercrop1","model1.intercrop.group1","model1.intercrop1.number","model1.intercrop1.number.unit","model1.intercrop1.year","model1.intercrop1.yield","model1.intercrop1.yield.unit","model1.intercrop2","model1.intercrop2.number","model1.intercrop2.year","model1.intercrop2.yield","model1.intercrop2.yield.unit","model1.intercrop3","model1.intercrop3.number","model1.intercrop3.year","model1.intercrop3.yield","model1.intercrop3.yield.unit","model1.intercrop4","model1.intercrop4.number","model1.intercrop4.year","model1.intercrop4.yield","model1.intercrop4.yield.unit","model1.intercrop5","model1.intercrop5.number","model1.intercrop5.year","model1.intercrop5.yield","model1.intercrop5.yield.unit","model1.intercrop6","model1.intercrop6.number","model1.intercrop6.year","model1.intercrop6.yield","model1.intercrop6.yield.unit","model1.plant.formula.x","model1.soil.characteristic","model1.land.slope","model1.water","model1.income.main.2018","model1.income.intercrop.2018","model1.cost.main.2018","model1.cost.intercrop.2018","model1.income.2018","model1.cost.2018","model1.profit.2018","model1.plant.formula.y","model2.area","model2.main1","model2.main1.number","model2.main1.year","model2.main1.yield","model2.main1.yield.unit","model2.intercrop1","model2.intercrop1.number","model2.intercrop1.year","model2.intercrop1.yield","model2.intercrop1.yield.unit","model2.intercrop2","model2.intercrop2.number","model2.intercrop2.year","model2.intercrop2.yield","model2.intercrop2.yield.unit","model2.intercrop3","model2.intercrop3.number","model2.intercrop3.year","model2.intercrop3.yield","model2.intercrop3.yield.unit"
1,3,5,"TRE (MANG)","TP(M)",500,"BUI",1999,30,"TAN",NA,NA,NA,NA,NA,"BO","AQ",100,NA,2004,4,"TAN","DAU DA",200,2004,600,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","CO NUOC",240,130,115,30,370,145,225,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1,"TRE (MANG)","TP(M)",60,"BUI",1998,2,"TAN",NA,NA,NA,NA,NA,"SAU RIENG","AQ",10,NA,1998,25,"KG","SU SU",80,2018,NA,NA,"BO",10,1998,600,"KG","QUYT",20,2015,NA,NA,"TIEU",20,2003,25,"KG","DAU",20,2003,200,"KG","TPM+AQ","DAT CAT PHA","DOC CAO","THIEU NUOC",20,37,1,7.5,57,8.5,48.5,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,2,"TRE (MANG)","TP(M)",400,"BUI",1990,10,"TAN",NA,NA,NA,NA,NA,"BO","AQ",100,NA,2005,4,"TAN","SAU RIENG",40,2009,1,"TAN","CAM, QUYT",400,2014,NA,NA,"MIT",70,2010,NA,NA,"TIEU",100,2012,150,"KG","MANG CAU",20,2012,50,"KG","TPM+AQ","DAT CAT PHA","DOC VUA","THIEU NUOC",120,115,25,15,235,40,195,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,4.5,"TRE (MANG)","TP(M)",150,"BUI",1998,10,"TAN",NA,NA,NA,NA,NA,"DAU DA","AQ",125,NA,1998,NA,NA,"HONG QUAN",15,2004,350,"KG","MIT",15,2004,NA,NA,"KHOAI LUN",NA,2009,1,"TAN","QUYT",25,2019,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","THIEU NUOC",30,350,10,35,380,45,335,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0.45,"TRE (MANG)","TP(M)",NA,NA,2009,7,"TAN",NA,NA,NA,NA,NA,"CHOM CHOM","AQ",200,NA,2018,NA,NA,"CAM, QUYT",NA,2009,NA,NA,"TIEU",NA,2009,250,"KG","BO",350,2018,1,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC CAO","THIEU NUOC",90,35,5,5,125,10,115,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.25,"TRE (MANG)","TP(M)",100,"BUI",1999,1,"TAN",NA,NA,NA,NA,NA,"SAU RIENG","AQ",50,NA,1999,150,"KG","BO",50,1999,30,"KG","DAU DA",15,1999,500,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","CO NUOC",10,15,2,3,25,5,20,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,2,"SAO DEN","LN",125,"CAY",2000,NA,NA,"TRE (MANG)",100,NA,4,"TAN","SAU RIENG","AQ",90,NA,2000,100,"KG","BO",90,2000,200,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT LAN DA","DOC VUA","CO NUOC",20,10,8,5,30,13,17,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,"TRE (MANG)","TP(M)",150,"BUI",1999,5,"TAN",NA,NA,NA,NA,NA,"BO","AQ",100,NA,2012,100,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC VUA","THIEU NUOC",25,1,2,2,26,4,22,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.37,"SAO DEN","LN",250,"CAY",1998,NA,NA,"TRE (MANG)",35,1998,NA,NA,"SAU RIENG","AQ",205,NA,2003,400,"KG","BO",10,NA,300,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ",NA,"DOC IT","THIEU NUOC",10,30,NA,5,40,5,35,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,5,"TRE (MANG)","TP(M)",3500,"BUI",1994,9,"TAN",NA,NA,NA,NA,NA,"BO","AQ",500,NA,2014,350,"KG","CAM, QUYT",6000,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC VUA","THIEU NUOC",70,10,20,5,80,25,55,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,2.5,"GO DO","LN",400,"CAY",2018,NA,NA,NA,NA,NA,NA,NA,"BUOI","AQCM",150,NA,2000,900,"KG","CAM, QUYT",200,2005,1,"TAN","DAU DA",50,2005,5,"TAN","SAU RIENG",50,1997,250,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LN+AQ","DAT CAT PHA","DOC IT","THIEU NUOC",0,40,12,10,40,22,18,"LN+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,0.52,"TRE (MANG)","TP(M)",20,"BUI",2002,20,"KG",NA,NA,NA,NA,NA,"SAU RIENG","AQ",20,NA,2009,75,"KG","BO",20,2009,120,"KG","DAU DA",150,2012,700,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","THIEU NUOC",10,16,3,6.4,26,9.4,16.6,"TPM+AQ",0.14,"SU",40,2019,600,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0.5,"MAT MEO","DL",100,"CAY",1989,NA,NA,NA,NA,NA,NA,NA,"CAM QUYT","AQCM",100,NA,2014,1,"TAN","XOAI",30,1989,1.5,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AQ+VL+DL","DAT XAM DEN","DOC VUA","CO NUOC",NA,35,NA,6.2,35,6.2,28.8,"AQ+VL+DL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,8,0.97,"TRE (MANG)","TP(M)",200,"BUI",1999,NA,NA,"SAO",20,1993,NA,NA,"SAU RIENG","AQ",10,NA,2000,100,"KG","NGHE",20,2010,NA,NA,"CAM, QUYT",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC IT","THIEU NUOC",5,20,0.5,NA,25,0.5,24.5,"TPM+AQ",0.34,"TRE (MANG)",NA,1999,NA,NA,"BO",10,2016,500,"KG","MANG CAU",30,2017,50,"KG","DAU",30,2009,100,"KG"
1,6,1.17,"TRE (MANG)","TP(M)",200,"BUI",1985,5,"TAN",NA,NA,NA,NA,NA,"SAU RIENG","AQ",30,NA,1989,500,"KG","DAU DA",50,1989,1,"TAN","DINH LANG",60,2009,200,"KG","BO",50,1989,2,"TAN","TIEU",100,2009,350,"KG",NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC CAO","CO NUOC",70,130,45,10,200,55,145,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0.24,"DAU DA","AQ",85,"CAY",2008,900,"KG",NA,NA,NA,NA,NA,"TRE (MANG)","TPM",150,NA,1994,100,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC IT","THIEU NUOC",10,5,1,0,15,1,14,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,1.6,"HONG QUAN","AQ",100,"CAY",2012,900,"KG",NA,NA,NA,NA,NA,"BO","AQ",200,NA,2017,NA,NA,"CAM, QUYT",300,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AQ","DAT CAT PHA","DOC CAO","CO NUOC",150,50,70,7,200,77,123,"AQ",0.5,"SU",200,2018,10,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1,"TRE (MANG)","TP(M)",110,"BUI",1980,8,"TAN",NA,NA,NA,NA,NA,"CAM QUYT","AQCM",700,NA,2015,2,"TAN","DUA",40,1989,700,"TRAI","CHUOI",60,2014,1,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC VUA","THIEU NUOC",40,45,2.5,2.5,85,5,80,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1.4,"KEO LA TRAM","LN",45,"CAY",1993,NA,NA,NA,NA,NA,NA,NA,"TRE (MANG)","TPM",90,NA,2009,4,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOC VUA","THIEU NUOC",NA,25,NA,2,25,2,23,"LN+RMTP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,0.9,"TRE (MANG)","TP(M)",30,"BUI",2012,1,"TAN","SAO",NA,1989,NA,NA,"DAU DA","AQ",100,NA,2012,NA,NA,"SAU RIENG",30,2015,300,"KG","BO",50,2015,NA,NA,"DINH LANG",100,2015,100,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC VUA","CO NUOC",15,25,2,2,40,4,36,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,9,1.9,"SAO DEN","LN",55,"CAY",1997,NA,NA,"TRAM",1000,1997,NA,NA,"CHUOI","RMTP",500,NA,1980,1,"TAN","TIEU",100,1980,5,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT CAT PHA","DOC VUA","CO NUOC",0,130,0,25,130,25,105,"LN+RMTP",1.5,"TRE",300,1990,1,"TAN","DAU",150,1980,1,"TAN","SAU RIENG",200,1980,NA,NA,"BO",30,1980,300,"KG"
2,6,10,"GIANG HUONG","LN",1000,"CAY",1993,NA,NA,"KEO",1000,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT LAN DA","DOC CAO","THIEU NUOC",115,15,35,10,130,45,85,"LN",0.5,"TRE",100,1989,3,"TAN","XOAI",NA,1989,3.5,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1.5,"TRE (MANG)","TP(M)",200,"BUI",1988,8,"TAN",NA,NA,NA,NA,NA,"DAU DA","AQ",100,NA,2009,8.5,"TAN","BO",20,2009,1,"TAN","SAU RIENG",40,2009,200,"KG","MANG CAU",100,2000,200,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC IT","CO NUOC",130,80,45,5.5,210,50.5,159.5,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,0.4,"TRE (MANG)","TP(M)",450,"BUI",1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DOC IT","THIEU NUOC",20,NA,7,NA,20,7,13,"TPM+RM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1,"TRE (MANG)","TP(M)",200,"BUI",2000,2,"TAN",NA,NA,NA,NA,NA,"DAU DA","AQ",100,NA,2000,300,"KG","SAU RIENG",50,2000,300,"KG","BO",50,2000,200,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC CAO","CO NUOC",15,17,3,5,32,8,24,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0.5,"TRE (MANG)","TP(M)",60,"BUI",2008,2,"TAN",NA,NA,NA,NA,NA,"BO","AQ",50,NA,2008,1,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","THIEU NUOC",10,10,0.3,0.5,20,0.8,19.2,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,1.5,"TRE (MANG)","TP(M)",70,"BUI",2003,1.5,"TAN",NA,NA,NA,NA,NA,"CAM QUYT","AQCM",40,NA,2015,NA,NA,"BO",30,2012,500,"KG","SU SU",40,2019,500,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","THIEU NUOC",18,32.5,0.5,1.5,50.5,2,48.5,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,"TRE (MANG)","TP(M)",230,"BUI",1999,2,"TAN",NA,NA,NA,NA,NA,"DAU DA","AQ",500,NA,1999,7,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","THIEU NUOC",65,45,25,15,110,40,70,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,"TRE (MANG)","TP(M)",500,"BUI",2009,15,"TAN",NA,NA,NA,NA,NA,"BO","AQ",30,NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC VUA","THIEU NUOC",60,15,10,NA,75,10,65,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0.576,"TRE (MANG)","TP(M)",120,"BUI",1985,2,"TAN",NA,NA,NA,NA,NA,"CAM QUYT","AQCM",500,NA,2014,NA,NA,"MANG CAU",50,2014,500,"KG","SAU RIENG",50,2014,1,"TAN","DUA",50,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","THIEU NUOC",50,100,4,30,150,34,116,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1,"TRE (MANG)","TP(M)",100,"BUI",2004,7,"TAN",NA,NA,NA,NA,NA,"BO","AQ",60,NA,2008,2,"TAN","SAU RIENG",20,2008,1,"TAN","TIEU",100,2008,150,"KG","QUYT",200,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","CO NUOC",40,30,0,1.5,70,1.5,68.5,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,0.7,"TRE (MANG)","TP(M)",50,"BUI",NA,2,"TAN",NA,NA,NA,NA,NA,"CHUOI","RMTP",30,NA,NA,NA,NA,"BO",20,2003,100,"KG","SAU RIENG",5,2001,NA,NA,"XOAI",60,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DAT XAM DEN","DOC VUA","THIEU NUOC",16,1.5,2,1,17.5,3,14.5,"TPM+RM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1.1,"TRE (MANG)","TP(M)",50,"BUI",1989,4,"TAN",NA,NA,NA,NA,NA,"SAU RIENG","AQ",20,NA,1999,180,"KG","BO",20,2014,50,"KG","MIT",50,2018,NA,NA,"SAU RIENG KHONG HAT",100,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","THIEU NUOC",30,5,15,2.5,35,17.5,17.5,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,2,"TRE (MANG)","TP(M)",200,"BUI",2009,12,"TAN",NA,NA,NA,NA,NA,"CAM QUYT","AQ",2000,NA,2015,7,"TAN","BUOI",80,2015,NA,NA,"CAM, QUYT",100,2016,NA,NA,"BO",NA,NA,NA,NA,"SAU RIENG",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","THIEU NUOC",150,100,40,70,250,110,140,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,1.152,"TRE (MANG)","TP(M)",600,"BUI",1985,1.5,"TAN",NA,NA,NA,NA,NA,"DAU DA","AQ",400,NA,1995,2.5,"TAN","SAU RIENG",15,1995,300,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN",NA,"THIEU NUOC",15,15,5,5,30,10,20,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,0.7,"CAM, QUYT","AQCM",400,"CAY",1999,15,"TAN",NA,NA,NA,NA,NA,"TRE (MANG)","TPM",20,NA,1999,150,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT LAN DA","DOC VUA","CO NUOC",235,5,135,NA,240,135,105,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,5,1.1,"TRE (MANG)","TP(M)",NA,NA,1980,2,"TAN",NA,NA,NA,NA,NA,"DAU DA","AQ",150,NA,1980,2.5,"TAN","SAU RIENG",70,1983,300,"KG","BO",NA,2019,NA,NA,"DUA",NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC IT","THIEU NUOC",20,30,5,NA,50,5,45,"TPM+AQ",4,"TRE (MANG)",NA,1980,8,"TAN","DAU",NA,1980,NA,NA,"SAU RIENG",NA,1985,NA,NA,"DUA",NA,2010,NA,NA
1,3,1.7,"TRE (MANG)","TP(M)",150,"BUI",1989,4.5,"TAN",NA,NA,NA,NA,NA,"DAU DA","AQ",800,NA,1999,16,"TAN","BO",100,2004,3,"TAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT CAT PHA","DOC VUA","CO NUOC",30,205,5,15,235,20,215,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,1.8,"TRE (MANG)","TP(M)",80,"BUI",2000,2,"TAN",NA,NA,NA,NA,NA,"SU SU","RMTP",NA,NA,NA,1,"TAN","DUA",65,1990,NA,NA,"BO",6,2010,800,"KG","SAU RIENG",8,1990,300,"KG","BUOI",300,2018,NA,NA,"OI",120,2018,NA,NA,NA,NA,"DOC VUA","THIEU NUOC",30,100,NA,43,130,43,87,"TPM+RM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,0.9,"TRE (MANG)","TP(M)",300,"BUI",1994,2,"TAN",NA,NA,NA,NA,NA,"SU SU","RMTP",NA,NA,NA,1,"TAN","MANG CAU",NA,2015,NA,NA,"VU SUA",NA,2015,NA,NA,"XOAI",50,2015,NA,NA,"DAU",50,2015,NA,NA,NA,NA,NA,NA,NA,NA,"DAT LAN DA",NA,"THIEU NUOC",8,5,1.7,1.7,13,3.4,9.6,"TPM+RM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,0.8,"TRE (MANG)","TP(M)",500,"BUI",2014,300,"KG",NA,NA,NA,NA,NA,"CAM QUYT","AQ",350,NA,2014,NA,NA,"BO",50,2014,100,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC CAO","CO NUOC",15,5,5,5,20,10,10,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1.2,"TRE (MANG)","TP(M)",350,"BUI",1977,2,"TAN",NA,NA,NA,NA,NA,"DUA","AQ",20,NA,1977,300,"TRAI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC CAO","THIEU NUOC",10,4,2,NA,14,2,12,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1,"TRE (MANG)","TP(M)",100,"BUI",1980,4,"TAN",NA,NA,NA,NA,NA,"MANG CUT","AQ",17,NA,2000,NA,NA,"CAM, QUYT",6,2016,NA,NA,"SAU RIENG",7,NA,60,"KG","DAU",40,2011,700,"KG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ","DAT XAM DEN","DOC VUA","THIEU NUOC",20,6,1.5,1.5,26,3,23,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,4,0.8,"TRE (MANG)","TP(M)",50,"BUI",2000,1.5,"TAN",NA,NA,NA,NA,NA,"BO","AQ",10,NA,2013,NA,NA,"SAU RIENG",10,2013,NA,NA,"XOAI",10,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TPM+AQ",NA,"DOC IT","CO NUOC",20,5,5,NA,25,5,20,"TPM+AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
